Dates,Destination,InviaCode,Operator,MealType,Price,Hotel,Airport,Minute
24.5. - 4.6.,Kréta,36829,Electra Tours,All Inclusive,21 790 Kč,Dessole Dolphin Bay Resort,Praha,FM
28.5. - 4.6.,Kréta,36829,Electra Tours,All Inclusive,16 490 Kč,Dessole Dolphin Bay Resort,Praha,FM
1.6. - 4.6.,Kréta,36829,Electra Tours,All Inclusive,12 850 Kč,Dessole Dolphin Bay Resort,Praha,Last minute
13.7. - 27.7.,Kréta,36829,Electra Tours,All Inclusive,39 150 Kč,Dessole Dolphin Bay Resort,Brno,FM
16.7. - 23.7.,Kréta,36829,Electra Tours,All Inclusive,23 550 Kč,Dessole Dolphin Bay Resort,Praha,FM
16.7. - 23.7.,Kréta,36829,Electra Tours,All Inclusive,23 550 Kč,Dessole Dolphin Bay Resort,Brno,FM
16.7. - 30.7.,Kréta,36829,Electra Tours,All Inclusive,42 550 Kč,Dessole Dolphin Bay Resort,Praha,FM
20.7. - 3.8.,Kréta,36829,Electra Tours,All Inclusive,43 790 Kč,Dessole Dolphin Bay Resort,Brno,FM
23.7. - 30.7.,Kréta,36829,Electra Tours,All Inclusive,25 750 Kč,Dessole Dolphin Bay Resort,Praha,FM
23.7. - 30.7.,Kréta,36829,Electra Tours,All Inclusive,25 750 Kč,Dessole Dolphin Bay Resort,Brno,FM
23.7. - 6.8.,Kréta,36829,Electra Tours,All Inclusive,42 550 Kč,Dessole Dolphin Bay Resort,Praha,FM
21.5. - 31.5.,Rhodos,27706,Electra Tours,All Inclusive,12 250 Kč,Evi,Praha,FM
21.5. - 3.6.,Rhodos,27706,Electra Tours,All Inclusive,13 750 Kč,Evi,Praha,FM
25.5. - 31.5.,Rhodos,27706,Electra Tours,All Inclusive,10 650 Kč,Evi,Praha,FM
25.5. - 3.6.,Rhodos,27706,Electra Tours,All Inclusive,12 150 Kč,Evi,Praha,FM
25.5. - 8.6.,Rhodos,27706,Electra Tours,All Inclusive,15 850 Kč,Evi,Praha,FM
1.6. - 4.6.,Rhodos,27706,Electra Tours,All Inclusive,10 090 Kč,Evi,Praha,FM
1.6. - 15.6.,Rhodos,27706,Electra Tours,All Inclusive,16 850 Kč,Evi,Praha,FM
2.6. - 9.6.,Rhodos,27706,Electra Tours,All Inclusive,12 890 Kč,Evi,Brno,FM
2.6. - 16.6.,Rhodos,27706,Electra Tours,All Inclusive,17 090 Kč,Evi,Brno,FM
3.6. - 10.6.,Rhodos,27706,Electra Tours,All Inclusive,12 250 Kč,Evi,Praha,FM
8.7. - 15.7.,Korfu,21090,Electra Tours,All Inclusive,16 390 Kč,Alkyon,Praha,FM
15.7. - 22.7.,Korfu,21090,Electra Tours,All Inclusive,16 790 Kč,Alkyon,Praha,FM
22.7. - 29.7.,Korfu,21090,Electra Tours,All Inclusive,16 790 Kč,Alkyon,Praha,FM
