Dates,Price,Destination,InviaCode,Operator,MealType
"
							23.4. - 30.4.
							(8 dní)
						",21490,Kreta,24810,Fischer 1 - cestovní kancelář,All Inclusive
"
							13.5. - 20.5.
							(8 dní)
						",10490,Kreta,8210,Pantour,All Inclusive
"
							13.5. - 20.5.
							(8 dní)
						",9390,Kreta,8210,Pantour,Polopenze
"
							14.5. - 21.5.
							(8 dní)
						",9680,Kreta,8210,Fischer 3 - spec.produkt,Polopenze
"
							13.5. - 20.5.
							(8 dní)
						",11590,Kreta,8819,Pantour,All Inclusive
"
							16.5. - 26.5.
							(11 dní)
						",15090,Kreta,8819,Pantour,All Inclusive
"
							19.5. - 2.6.
							(15 dní)
						",17490,Kreta,8819,Pantour,All Inclusive
"
							30.4. - 7.5.
							(8 dní)
						",16990,Kreta,7566,Exim Tours,All Inclusive
"
							30.4. - 14.5.
							(15 dní)
						",25090,Kreta,7566,Exim Tours,All Inclusive
"
							7.5. - 14.5.
							(8 dní)
						",16262,Kreta,7566,Exim Tours,All Inclusive
"
							27.5. - 3.6.
							(8 dní)
						",18370,Kreta,97477,My Planet (Travel Planet),All Inclusive
"
							27.5. - 3.6.
							(8 dní)
						",16680,Kreta,97477,My Planet (Travel Planet),Polopenze
"
							28.5. - 8.6.
							(12 dní)
						",25491,Kreta,97477,Firo Tour,All Inclusive
"
							16.4. - 23.4.
							(8 dní)
						",16090,Kreta,9122,Exim Tours,All Inclusive
"
							23.4. - 30.4.
							(8 dní)
						",16090,Kreta,9122,Exim Tours,All Inclusive
"
							30.4. - 7.5.
							(8 dní)
						",16390,Kreta,9122,Exim Tours,All Inclusive
"
							1.5. - 6.5.
							(6 dní)
						",27247,Kreta,8170,Neckermann CZ,All Inclusive
"
							1.5. - 6.5.
							(6 dní)
						",25857,Kreta,8170,Neckermann CZ,Polopenze
"
							1.5. - 8.5.
							(8 dní)
						",13701,Kreta,8170,Neckermann CZ,Polopenze
"
							31.5. - 10.6.
							(11 dní)
						",9832,Kreta,70039,Melissa Travel,Bez stravy
"
							10.6. - 21.6.
							(12 dní)
						",10232,Kreta,70039,Melissa Travel,Bez stravy
"
							21.6. - 1.7.
							(11 dní)
						",10632,Kreta,70039,Melissa Travel,Bez stravy
"
							16.4. - 23.4.
							(8 dní)
						",14600,Kreta,105992,Fischer 1 - cestovní kancelář,All Inclusive
"
							23.4. - 30.4.
							(8 dní)
						",13990,Kreta,105992,Fischer 1 - cestovní kancelář,All Inclusive
"
							30.4. - 7.5.
							(8 dní)
						",13990,Kreta,105992,Fischer 1 - cestovní kancelář,All Inclusive
"
							7.5. - 14.5.
							(8 dní)
						",13420,Kreta,9067,Fischer 1 - cestovní kancelář,All Inclusive
"
							13.5. - 20.5.
							(8 dní)
						",11670,Kreta,9067,Pantour,All Inclusive
"
							14.5. - 21.5.
							(8 dní)
						",11060,Kreta,9067,Fischer 1 - cestovní kancelář,All Inclusive
"
							13.5. - 20.5.
							(8 dní)
						",9790,Kreta,7794,Pantour,All Inclusive
"
							16.5. - 26.5.
							(11 dní)
						",13890,Kreta,7794,Pantour,All Inclusive
"
							19.5. - 2.6.
							(15 dní)
						",15890,Kreta,7794,Pantour,All Inclusive
"
							21.5. - 28.5.
							(8 dní)
						",10850,Kreta,49305,Electra Tours,Snídaně
"
							21.5. - 28.5.
							(8 dní)
						",10090,Kreta,49305,Electra Tours,Polopenze
"
							27.5. - 3.6.
							(8 dní)
						",10480,Kreta,49305,My Planet (Travel Planet),Polopenze
"
							17.5. - 27.5.
							(11 dní)
						",17663,Kreta,7947,Brenna,All Inclusive
"
							20.5. - 27.5.
							(8 dní)
						",14937,Kreta,7947,Brenna,All Inclusive
"
							21.5. - 28.5.
							(8 dní)
						",12590,Kreta,7947,Electra Tours,All Inclusive
"
							1.4. - 8.4.
							(8 dní)
						",22487,Kreta,103602,Neckermann CZ,Snídaně
"
							1.4. - 8.4.
							(8 dní)
						",23135,Kreta,103602,Neckermann CZ,Polopenze
"
							1.4. - 8.4.
							(8 dní)
						",23784,Kreta,103602,Neckermann CZ,All Inclusive
"
							7.5. - 14.5.
							(8 dní)
						",14690,Kreta,28668,Fischer 1 - cestovní kancelář,All Inclusive
"
							7.5. - 14.5.
							(8 dní)
						",11690,Kreta,28668,Fischer 1 - cestovní kancelář,Polopenze
"
							13.5. - 20.5.
							(8 dní)
						",13590,Kreta,28668,Pantour,All Inclusive
"
							27.5. - 3.6.
							(8 dní)
						",13330,Kreta,7964,My Planet (Travel Planet),All Inclusive
"
							3.6. - 10.6.
							(8 dní)
						",15040,Kreta,7964,My Planet (Travel Planet),All Inclusive
"
							3.6. - 14.6.
							(12 dní)
						",24954,Kreta,7964,Solvex SK,All Inclusive
"
							28.5. - 4.6.
							(8 dní)
						",14170,Kreta,25979,Exim Tours,Polopenze
"
							28.5. - 4.6.
							(8 dní)
						",18577,Kreta,25979,Exim Tours,All Inclusive
"
							28.5. - 11.6.
							(15 dní)
						",29725,Kreta,25979,Exim Tours,All Inclusive
"
							14.5. - 21.5.
							(8 dní)
						",10990,Kreta,8086,Fischer 1 - cestovní kancelář,All Inclusive
"
							20.5. - 27.5.
							(8 dní)
						",10990,Kreta,8086,Fischer 1 - cestovní kancelář,All Inclusive
"
							21.5. - 28.5.
							(8 dní)
						",10750,Kreta,8086,Electra Tours,All Inclusive
"
							30.4. - 7.5.
							(8 dní)
						",19690,Kreta,83549,Exim Tours,All Inclusive
"
							30.4. - 14.5.
							(15 dní)
						",30590,Kreta,83549,Exim Tours,All Inclusive
"
							7.5. - 14.5.
							(8 dní)
						",18846,Kreta,83549,Exim Tours,All Inclusive
"
							13.5. - 20.5.
							(8 dní)
						",8490,Kreta,60917,Pantour,Bez stravy
"
							16.5. - 26.5.
							(11 dní)
						",10590,Kreta,60917,Pantour,Bez stravy
"
							19.5. - 2.6.
							(15 dní)
						",11290,Kreta,60917,Pantour,Bez stravy
"
							9.4. - 16.4.
							(8 dní)
						",14780,Kreta,22485,Fischer 1 - cestovní kancelář,All Inclusive
"
							9.4. - 23.4.
							(15 dní)
						",22190,Kreta,22485,Exim Tours,All Inclusive
"
							16.4. - 23.4.
							(8 dní)
						",14780,Kreta,22485,Fischer 1 - cestovní kancelář,All Inclusive
"
							13.5. - 20.5.
							(8 dní)
						",11690,Kreta,9487,Pantour,All Inclusive
"
							16.5. - 26.5.
							(11 dní)
						",15090,Kreta,9487,Pantour,All Inclusive
"
							19.5. - 2.6.
							(15 dní)
						",17490,Kreta,9487,Pantour,All Inclusive
"
							7.4. - 14.4.
							(8 dní)
						",18209,Kreta,101128,Eti Slovensko SK,All Inclusive
"
							7.4. - 15.4.
							(9 dní)
						",23099,Kreta,101128,Eti Slovensko SK,All Inclusive
"
							7.4. - 21.4.
							(15 dní)
						",26696,Kreta,101128,Eti Slovensko SK,All Inclusive
"
							31.5. - 7.6.
							(8 dní)
						",12401,Kreta,9444,Čedok,Bez stravy
"
							3.6. - 14.6.
							(12 dní)
						",14101,Kreta,9444,Čedok,Bez stravy
"
							7.6. - 14.6.
							(8 dní)
						",13166,Kreta,9444,Čedok,Bez stravy
"
							13.5. - 20.5.
							(8 dní)
						",9890,Kreta,8388,Pantour,Polopenze
"
							13.5. - 20.5.
							(8 dní)
						",9390,Kreta,8388,Pantour,Snídaně
"
							14.5. - 21.5.
							(8 dní)
						",13300,Kreta,8388,Fischer 1 - cestovní kancelář,Snídaně
"
							28.5. - 4.6.
							(8 dní)
						",12590,Kreta,21162,Blue Style,Polopenze
"
							28.5. - 8.6.
							(12 dní)
						",14290,Kreta,21162,Blue Style,Polopenze
"
							1.6. - 8.6.
							(8 dní)
						",12590,Kreta,21162,Blue Style,Polopenze
"
							30.4. - 7.5.
							(8 dní)
						",15090,Kreta,27655,Exim Tours,Polopenze
"
							30.4. - 14.5.
							(15 dní)
						",21090,Kreta,27655,Exim Tours,Polopenze
"
							7.5. - 14.5.
							(8 dní)
						",14362,Kreta,27655,Exim Tours,Polopenze
"
							27.5. - 3.6.
							(8 dní)
						",11732,Kreta,7848,Travel 2002,Bez stravy
"
							27.5. - 7.6.
							(12 dní)
						",11553,Kreta,7848,Brenna,Bez stravy
"
							27.5. - 7.6.
							(12 dní)
						",12963,Kreta,7848,Brenna,Snídaně
"
							7.5. - 14.5.
							(8 dní)
						",18220,Kreta,58604,Fischer 1 - cestovní kancelář,All Inclusive
"
							14.5. - 21.5.
							(8 dní)
						",20660,Kreta,58604,Fischer 1 - cestovní kancelář,All Inclusive
"
							20.5. - 27.5.
							(8 dní)
						",14990,Kreta,58604,Fischer 1 - cestovní kancelář,All Inclusive
"
							30.4. - 7.5.
							(8 dní)
						",14159,Kreta,9525,Inex,Polopenze
"
							30.4. - 14.5.
							(15 dní)
						",19495,Kreta,9525,Inex,Polopenze
"
							7.5. - 14.5.
							(8 dní)
						",14290,Kreta,9525,Inex,Polopenze
"
							9.4. - 16.4.
							(8 dní)
						",14290,Kreta,28596,Exim Tours,All Inclusive
"
							9.4. - 23.4.
							(15 dní)
						",19890,Kreta,28596,Exim Tours,All Inclusive
"
							16.4. - 23.4.
							(8 dní)
						",14290,Kreta,28596,Exim Tours,All Inclusive
"
							17.5. - 27.5.
							(11 dní)
						",22175,Kreta,8163,Brenna,All Inclusive
"
							20.5. - 27.5.
							(8 dní)
						",18133,Kreta,8163,Brenna,All Inclusive
"
							21.5. - 28.5.
							(8 dní)
						",16190,Kreta,8163,Electra Tours,All Inclusive
"
							15.4. - 22.4.
							(8 dní)
						",19727,Kreta,8236,Solartour SK,All Inclusive
"
							15.4. - 22.4.
							(8 dní)
						",16776,Kreta,8236,Solartour SK,Polopenze
"
							17.4. - 24.4.
							(8 dní)
						",15259,Kreta,8236,Solartour SK,Polopenze
"
							27.5. - 3.6.
							(8 dní)
						",13020,Kreta,28666,My Planet (Travel Planet),All Inclusive
"
							1.6. - 8.6.
							(8 dní)
						",12290,Kreta,28666,Pantour,All Inclusive
"
							1.6. - 11.6.
							(11 dní)
						",16190,Kreta,28666,Pantour,All Inclusive
"
							31.5. - 10.6.
							(11 dní)
						",16675,Kreta,9580,Melissa Travel,Polopenze
"
							3.6. - 10.6.
							(8 dní)
						",14085,Kreta,9580,Čedok,Polopenze
"
							10.6. - 21.6.
							(12 dní)
						",18207,Kreta,9580,Čedok,Polopenze
"
							27.5. - 7.6.
							(12 dní)
						",18870,Kreta,29339,VTT,All Inclusive
"
							27.5. - 7.6.
							(12 dní)
						",11900,Kreta,29339,VTT,Bez stravy
"
							27.5. - 7.6.
							(12 dní)
						",16745,Kreta,29339,VTT,Polopenze
"
							10.6. - 17.6.
							(8 dní)
						",22865,Kreta,8228,VTT,All Inclusive
"
							10.6. - 17.6.
							(8 dní)
						",17595,Kreta,8228,VTT,Polopenze
"
							14.6. - 21.6.
							(8 dní)
						",19125,Kreta,8228,VTT,Polopenze
"
							17.5. - 27.5.
							(11 dní)
						",19449,Kreta,7902,Brenna,All Inclusive
"
							17.5. - 27.5.
							(11 dní)
						",15877,Kreta,7902,Brenna,Polopenze
"
							20.5. - 27.5.
							(8 dní)
						",16253,Kreta,7902,Brenna,All Inclusive
"
							27.5. - 3.6.
							(8 dní)
						",18230,Kreta,50252,My Planet (Travel Planet),All Inclusive
"
							27.5. - 7.6.
							(12 dní)
						",20671,Kreta,50252,Brenna,All Inclusive
"
							3.6. - 10.6.
							(8 dní)
						",17770,Kreta,50252,My Planet (Travel Planet),All Inclusive
"
							21.5. - 28.5.
							(8 dní)
						",14690,Kreta,110648,Exim Tours,All Inclusive
"
							28.5. - 4.6.
							(8 dní)
						",14790,Kreta,110648,Exim Tours,All Inclusive
"
							28.5. - 11.6.
							(15 dní)
						",21290,Kreta,110648,Exim Tours,All Inclusive
"
							21.5. - 28.5.
							(8 dní)
						",17190,Kreta,94882,Exim Tours,All Inclusive
